"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"coaBC_1","","Coenzyme A biosynthesis bifunctional protein CoaBC","0","7","83","96","0.0","93.20388349514563","0.0","0.01758083650287212","1.0","0.47926706208188474","1","0","1","1.0","1.0"
"group_9014","","hypothetical protein","0","7","83","96","0.0","93.20388349514563","0.0","0.01758083650287212","1.0","0.47926706208188474","1","0","1","1.0","1.0"
"group_9015","","hypothetical protein","0","7","83","96","0.0","93.20388349514563","0.0","0.01758083650287212","1.0","0.47926706208188474","1","0","1","1.0","1.0"
"group_9016","","hypothetical protein","0","7","83","96","0.0","93.20388349514563","0.0","0.01758083650287212","1.0","0.47926706208188474","1","0","1","1.0","1.0"
"bioM_1","","Biotin transport ATP-binding protein BioM","0","7","83","96","0.0","93.20388349514563","0.0","0.01758083650287212","1.0","0.47926706208188474","1","0","1","1.0","1.0"
"group_9018","btuD_11","Vitamin B12 import ATP-binding protein BtuD","0","7","83","96","0.0","93.20388349514563","0.0","0.01758083650287212","1.0","0.47926706208188474","1","0","1","1.0","1.0"
"group_9020","","hypothetical protein","0","7","83","96","0.0","93.20388349514563","0.0","0.01758083650287212","1.0","0.47926706208188474","1","0","1","1.0","1.0"
"group_9021","","hypothetical protein","0","7","83","96","0.0","93.20388349514563","0.0","0.01758083650287212","1.0","0.47926706208188474","1","0","1","1.0","1.0"
"group_9022","","hypothetical protein","0","7","83","96","0.0","93.20388349514563","0.0","0.01758083650287212","1.0","0.47926706208188474","1","0","1","1.0","1.0"
"group_9024","","hypothetical protein","0","7","83","96","0.0","93.20388349514563","0.0","0.01758083650287212","1.0","0.47926706208188474","1","0","1","1.0","1.0"
"group_9025","","hypothetical protein","0","7","83","96","0.0","93.20388349514563","0.0","0.01758083650287212","1.0","0.47926706208188474","1","0","1","1.0","1.0"
"group_9026","","hypothetical protein","0","7","83","96","0.0","93.20388349514563","0.0","0.01758083650287212","1.0","0.47926706208188474","1","0","1","1.0","1.0"
"group_9027","","hypothetical protein","0","7","83","96","0.0","93.20388349514563","0.0","0.01758083650287212","1.0","0.47926706208188474","1","0","1","1.0","1.0"
"group_9028","","hypothetical protein","0","7","83","96","0.0","93.20388349514563","0.0","0.01758083650287212","1.0","0.47926706208188474","1","0","1","1.0","1.0"
"group_9096","","hypothetical protein","0","7","83","96","0.0","93.20388349514563","0.0","0.01758083650287212","1.0","0.47926706208188474","1","0","1","1.0","1.0"
"group_58","","hypothetical protein","79","86","4","17","95.18072289156626","16.50485436893204","3.9040697674418605","0.018090446383167487","1.0","0.49198242610070053","7","4","3","0.9999999999999998","0.9999999999999998"
"group_3333","","hypothetical protein","14","6","69","97","16.867469879518072","94.1747572815534","3.2801932367149758","0.018224919969690924","1.0","0.49445943584435254","6","6","3","0.03125","1.0"
"irtA","","Iron import ATP-binding/permease protein IrtA","63","61","20","42","75.90361445783132","40.77669902912621","2.1688524590163936","0.01915617134955739","1.0","0.5170505718535752","7","5","3","0.4531249999999996","0.9999999999999998"
"group_2351","","hypothetical protein","63","61","20","42","75.90361445783132","40.77669902912621","2.1688524590163936","0.01915617134955739","1.0","0.5170505718535752","7","5","3","0.4531249999999996","0.9999999999999998"
"group_3193","","hypothetical protein","24","15","59","88","28.915662650602407","85.43689320388349","2.386440677966102","0.019193715830983966","1.0","0.5170505718535752","7","5","4","0.4531249999999996","0.9999999999999998"
"group_2097","","hypothetical protein","6","20","77","83","7.228915662650602","80.58252427184466","0.3233766233766234","0.01943516397918176","1.0","0.5223200319405097","11","4","8","0.22656250000000003","0.548828125"
"group_782","","hypothetical protein","62","60","21","43","74.69879518072288","41.74757281553398","2.115873015873016","0.02060765897080723","1.0","0.5512306900759352","7","5","4","0.4531249999999996","0.9999999999999998"
"group_868","","hypothetical protein","62","60","21","43","74.69879518072288","41.74757281553398","2.115873015873016","0.02060765897080723","1.0","0.5512306900759352","7","5","4","0.4531249999999996","0.9999999999999998"
"group_601","","hypothetical protein","61","58","22","45","73.49397590361446","43.689320388349515","2.1512539184952977","0.020900611966330446","1.0","0.5577575488438768","5","4","2","0.375","1.0"
"group_1978","","hypothetical protein","12","30","71","73","14.457831325301203","70.87378640776699","0.4112676056338028","0.021587729816675016","1.0","0.5747480870584388","19","10","14","0.06356811523437494","1.0"
"group_3130","","hypothetical protein","15","7","68","96","18.072289156626507","93.20388349514563","3.0252100840336134","0.02235589941162494","1.0","0.593812293229525","5","4","2","0.375","1.0"
"znuC","","Zinc import ATP-binding protein ZnuC","70","98","13","5","84.33734939759037","4.854368932038835","0.27472527472527475","0.02248533082380017","1.0","0.5958612668307045","4","2","3","0.625","1.0"
"group_2256","","hypothetical protein","78","85","5","18","93.97590361445783","17.475728155339805","3.303529411764706","0.023987748740662507","1.0","0.6342004568441979","5","3","4","0.375","1.0"
"dnaE2","","Error-prone DNA polymerase","82","93","1","10","98.79518072289156","9.70873786407767","8.817204301075268","0.024297160088458496","1.0","0.6408938407592234","3","3","1","0.25","1.0"
"group_3121","","hypothetical protein","41","34","42","69","49.39759036144578","66.99029126213593","1.98109243697479","0.025262359905990538","1.0","0.6648142982188503","5","5","4","0.0625","0.375"
"group_1991","","hypothetical protein","23","14","60","89","27.710843373493976","86.40776699029125","2.4369047619047617","0.02572304789283264","1.0","0.6753781814258708","5","4","3","0.375","1.0"
"group_1248","","hypothetical protein","67","95","16","8","80.72289156626506","7.766990291262135","0.3526315789473684","0.026987419211629546","1.0","0.7069463032563648","3","1","3","0.25","1.0"
"group_852","","hypothetical protein","37","63","46","40","44.57831325301205","38.83495145631068","0.5106970324361628","0.0271688405041105","1.0","0.7100663705145394","41","18","27","0.05958388801809635","0.5327092552361133"
"group_2456","","hypothetical protein","34","26","49","77","40.963855421686745","74.75728155339806","2.0549450549450547","0.02738322775038462","1.0","0.7140317625071687","15","10","7","0.30175781250000017","0.9999999999999997"
"group_2127","","hypothetical protein","8","23","75","80","9.63855421686747","77.66990291262135","0.3710144927536232","0.028567152246209322","1.0","0.7432025110629115","12","5","8","0.3876953125000001","0.7744140625000003"
"group_3189","","hypothetical protein","21","42","62","61","25.301204819277107","59.22330097087378","0.49193548387096775","0.02984056046744872","1.0","0.7745630672587202","5","2","4","0.375","1.0"
"group_1196","","hypothetical protein","79","88","4","15","95.18072289156626","14.563106796116504","3.366477272727273","0.030917075480190563","1.0","0.8006819888562988","4","3","3","0.625","0.625"
"pdhC","","Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex","61","60","22","43","73.49397590361446","41.74757281553398","1.987121212121212","0.03183405118499995","1.0","0.8169072628656003","7","4","4","0.9999999999999998","0.9999999999999998"
"group_1642","","hypothetical protein","66","94","17","9","79.51807228915662","8.737864077669903","0.3717146433041302","0.0321171087111706","1.0","0.8169072628656003","3","1","3","0.25","1.0"
"metB","","Cystathionine gamma-synthase","17","9","66","94","20.481927710843372","91.2621359223301","2.6902356902356903","0.0321171087111706","1.0","0.8169072628656003","3","3","1","0.25","1.0"
"group_3271","","hypothetical protein","17","9","66","94","20.481927710843372","91.2621359223301","2.6902356902356903","0.0321171087111706","1.0","0.8169072628656003","3","3","1","0.25","1.0"
"group_3272","","hypothetical protein","17","9","66","94","20.481927710843372","91.2621359223301","2.6902356902356903","0.0321171087111706","1.0","0.8169072628656003","3","3","1","0.25","1.0"
"group_3273","","hypothetical protein","17","9","66","94","20.481927710843372","91.2621359223301","2.6902356902356903","0.0321171087111706","1.0","0.8169072628656003","3","3","1","0.25","1.0"
"group_3274","","Alkaline shock protein 23","17","9","66","94","20.481927710843372","91.2621359223301","2.6902356902356903","0.0321171087111706","1.0","0.8169072628656003","3","3","1","0.25","1.0"
"group_3306","","hypothetical protein","17","9","66","94","20.481927710843372","91.2621359223301","2.6902356902356903","0.0321171087111706","1.0","0.8169072628656003","5","5","1","0.0625","0.375"
"group_3187","","hypothetical protein","9","24","74","79","10.843373493975903","76.69902912621359","0.40033783783783783","0.033463043045071666","1.0","0.8482132268608213","16","6","13","0.021270751953125","0.45449829101562506"
"group_3422","","hypothetical protein","0","6","83","97","0.0","94.1747572815534","0.0","0.034092291171764474","1.0","0.8482132268608213","6","0","6","0.03125","0.03125"
"group_3474","","hypothetical protein","0","6","83","97","0.0","94.1747572815534","0.0","0.034092291171764474","1.0","0.8482132268608213","4","0","4","0.125","0.125"
"group_8844","","hypothetical protein","0","6","83","97","0.0","94.1747572815534","0.0","0.034092291171764474","1.0","0.8482132268608213","1","0","1","1.0","1.0"
"group_8910","rpmE2","50S ribosomal protein L31 type B","0","6","83","97","0.0","94.1747572815534","0.0","0.034092291171764474","1.0","0.8482132268608213","1","0","1","1.0","1.0"
"group_8924","","hypothetical protein","0","6","83","97","0.0","94.1747572815534","0.0","0.034092291171764474","1.0","0.8482132268608213","1","0","1","1.0","1.0"
"group_8986","","hypothetical protein","0","6","83","97","0.0","94.1747572815534","0.0","0.034092291171764474","1.0","0.8482132268608213","1","0","1","1.0","1.0"
"group_9079","","hypothetical protein","0","6","83","97","0.0","94.1747572815534","0.0","0.034092291171764474","1.0","0.8482132268608213","1","0","1","1.0","1.0"
"group_9101","","hypothetical protein","0","6","83","97","0.0","94.1747572815534","0.0","0.034092291171764474","1.0","0.8482132268608213","1","0","1","1.0","1.0"
"group_9102","","hypothetical protein","0","6","83","97","0.0","94.1747572815534","0.0","0.034092291171764474","1.0","0.8482132268608213","1","0","1","1.0","1.0"
"group_3172","","hypothetical protein","26","48","57","55","31.32530120481928","53.398058252427184","0.5226608187134503","0.03641756458837231","1.0","0.8906639552474661","12","7","9","0.14599609375000003","0.7744140625000003"
"group_589","","hypothetical protein","74","100","9","3","89.1566265060241","2.912621359223301","0.24666666666666667","0.03642594896693788","1.0","0.8906639552474661","8","3","7","0.0703125","0.7265625000000002"
"ttuB","","Putative tartrate transporter","42","68","41","35","50.602409638554214","33.980582524271846","0.5272596843615495","0.03682109053560355","1.0","0.8906639552474661","4","1","4","0.125","0.625"
"group_1489","","hypothetical protein","41","35","42","68","49.39759036144578","66.01941747572816","1.8965986394557823","0.03682109053560355","1.0","0.8906639552474661","6","5","5","0.21875000000000003","0.21875000000000003"
"group_3122","","hypothetical protein","41","35","42","68","49.39759036144578","66.01941747572816","1.8965986394557823","0.03682109053560355","1.0","0.8906639552474661","6","5","5","0.21875000000000003","0.21875000000000003"
"group_3042","","hypothetical protein","42","36","41","67","50.602409638554214","65.0485436893204","1.9065040650406504","0.03688278785948716","1.0","0.8906639552474661","6","6","3","0.03125","1.0"
"ispF","","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase","41","67","42","36","49.39759036144578","34.95145631067961","0.5245202558635395","0.03688278785948717","1.0","0.8906639552474661","4","2","4","0.125","1.0"
"group_3305","","hypothetical protein","14","7","69","96","16.867469879518072","93.20388349514563","2.782608695652174","0.037028356165088476","1.0","0.8906639552474661","5","5","2","0.0625","1.0"
"group_1334","","hypothetical protein","43","37","40","66","51.80722891566265","64.07766990291263","1.9175675675675676","0.037049119331926186","1.0","0.8906639552474661","7","6","4","0.125","0.9999999999999998"
"group_3045","","hypothetical protein","43","37","40","66","51.80722891566265","64.07766990291263","1.9175675675675676","0.037049119331926186","1.0","0.8906639552474661","8","6","4","0.2890624999999999","1.0"
"group_985","","hypothetical protein","43","37","40","66","51.80722891566265","64.07766990291263","1.9175675675675676","0.037049119331926186","1.0","0.8906639552474661","7","6","4","0.125","0.9999999999999998"
"group_1735","","hypothetical protein","43","37","40","66","51.80722891566265","64.07766990291263","1.9175675675675676","0.037049119331926186","1.0","0.8906639552474661","7","6","4","0.125","0.9999999999999998"
"group_2220","","hypothetical protein","43","37","40","66","51.80722891566265","64.07766990291263","1.9175675675675676","0.037049119331926186","1.0","0.8906639552474661","7","6","4","0.125","0.9999999999999998"
"group_3043","","hypothetical protein","43","37","40","66","51.80722891566265","64.07766990291263","1.9175675675675676","0.037049119331926186","1.0","0.8906639552474661","7","6","4","0.125","0.9999999999999998"
"group_525","nreC_1","hypothetical protein","43","37","40","66","51.80722891566265","64.07766990291263","1.9175675675675676","0.037049119331926186","1.0","0.8906639552474661","7","6","4","0.125","0.9999999999999998"
"group_984","","hypothetical protein","43","37","40","66","51.80722891566265","64.07766990291263","1.9175675675675676","0.037049119331926186","1.0","0.8906639552474661","7","6","4","0.125","0.9999999999999998"
"group_2315","","hypothetical protein","44","38","39","65","53.01204819277109","63.10679611650486","1.9298245614035088","0.0373216997244331","1.0","0.8953279333892951","4","4","2","0.125","1.0"
"group_3275","","hypothetical protein","18","10","65","93","21.686746987951807","90.29126213592234","2.5753846153846154","0.037726302881636156","1.0","0.9017426651392709","5","4","2","0.375","1.0"
"group_11694","","hypothetical protein","4","0","79","103","4.819277108433735","100.0","inf","0.03806390714629129","1.0","0.9017426651392709","3","3","0","0.25","0.25"
"group_11760","","hypothetical protein","4","0","79","103","4.819277108433735","100.0","inf","0.03806390714629129","1.0","0.9017426651392709","3","3","0","0.25","0.25"
"group_11828","","hypothetical protein","4","0","79","103","4.819277108433735","100.0","inf","0.03806390714629129","1.0","0.9017426651392709","3","3","0","0.25","0.25"
"group_2149","","hypothetical protein","4","0","79","103","4.819277108433735","100.0","inf","0.03806390714629129","1.0","0.9017426651392709","4","4","0","0.125","0.125"
"group_2150","","hypothetical protein","4","0","79","103","4.819277108433735","100.0","inf","0.03806390714629129","1.0","0.9017426651392709","3","3","0","0.25","0.25"
"group_299","","hypothetical protein","78","86","5","17","93.97590361445783","16.50485436893204","3.083720930232558","0.03843366008512909","1.0","0.9067320013872587","4","2","4","0.125","1.0"
"group_232","","Iron-sulfur cluster carrier protein","78","86","5","17","93.97590361445783","16.50485436893204","3.083720930232558","0.03843366008512909","1.0","0.9067320013872587","4","2","4","0.125","1.0"
"group_856","","hypothetical protein","51","78","32","25","61.44578313253012","24.271844660194176","0.5108173076923077","0.038997475903864494","1.0","0.916721499142832","5","3","5","0.0625","1.0"
"group_2001","","hypothetical protein","22","14","61","89","26.506024096385545","86.40776699029125","2.2927400468384076","0.03909843339915896","1.0","0.916721499142832","25","18","11","0.04328525066375736","0.690037965774536"
"group_3195","","hypothetical protein","22","14","61","89","26.506024096385545","86.40776699029125","2.2927400468384076","0.03909843339915896","1.0","0.916721499142832","5","3","3","1.0","1.0"
"group_1972","","hypothetical protein","33","26","50","77","39.75903614457831","74.75728155339806","1.9546153846153846","0.040027577591921965","1.0","0.9365795619300837","23","16","11","0.09313964843749999","0.9999999999999998"
"group_2494","","hypothetical protein","15","8","68","95","18.072289156626507","92.23300970873787","2.619485294117647","0.043535366837511386","1.0","1.0","6","5","4","0.21875000000000003","0.6875000000000002"
"group_3339","","hypothetical protein","15","8","68","95","18.072289156626507","92.23300970873787","2.619485294117647","0.043535366837511386","1.0","1.0","10","6","4","0.7539062500000002","0.7539062500000002"
"group_123","","hypothetical protein","82","95","1","8","98.79518072289156","7.766990291262135","6.905263157894737","0.04415415757699519","1.0","1.0","2","1","1","1.0","1.0"
"group_1304","","hypothetical protein","82","95","1","8","98.79518072289156","7.766990291262135","6.905263157894737","0.04415415757699519","1.0","1.0","2","1","1","1.0","1.0"
"group_1572","","hypothetical protein","82","95","1","8","98.79518072289156","7.766990291262135","6.905263157894737","0.04415415757699519","1.0","1.0","2","1","1","1.0","1.0"
"bchI_2","","hypothetical protein","82","95","1","8","98.79518072289156","7.766990291262135","6.905263157894737","0.04415415757699519","1.0","1.0","2","1","1","1.0","1.0"
"yfmC","","hypothetical protein","82","95","1","8","98.79518072289156","7.766990291262135","6.905263157894737","0.04415415757699519","1.0","1.0","2","1","1","1.0","1.0"
"group_54","","hypothetical protein","82","95","1","8","98.79518072289156","7.766990291262135","6.905263157894737","0.04415415757699519","1.0","1.0","2","1","1","1.0","1.0"
"dinB","","DNA polymerase IV","82","95","1","8","98.79518072289156","7.766990291262135","6.905263157894737","0.04415415757699519","1.0","1.0","2","1","1","1.0","1.0"
"group_973","","hypothetical protein","82","95","1","8","98.79518072289156","7.766990291262135","6.905263157894737","0.04415415757699519","1.0","1.0","2","1","1","1.0","1.0"
"group_1608","","hypothetical protein","1","8","82","95","1.2048192771084338","92.23300970873787","0.1448170731707317","0.04415415757699519","1.0","1.0","2","1","1","1.0","1.0"
"group_2744","","hypothetical protein","1","8","82","95","1.2048192771084338","92.23300970873787","0.1448170731707317","0.04415415757699519","1.0","1.0","2","1","1","1.0","1.0"
"group_2745","","hypothetical protein","1","8","82","95","1.2048192771084338","92.23300970873787","0.1448170731707317","0.04415415757699519","1.0","1.0","2","1","1","1.0","1.0"
"group_2746","","hypothetical protein","1","8","82","95","1.2048192771084338","92.23300970873787","0.1448170731707317","0.04415415757699519","1.0","1.0","2","1","1","1.0","1.0"
"group_1952","","hypothetical protein","82","94","1","9","98.79518072289156","8.737864077669903","7.851063829787234","0.04452273432213109","1.0","1.0","3","2","1","1.0","1.0"
"group_2259","","hypothetical protein","82","94","1","9","98.79518072289156","8.737864077669903","7.851063829787234","0.04452273432213109","1.0","1.0","3","2","1","1.0","1.0"
"group_2400","","hypothetical protein","82","94","1","9","98.79518072289156","8.737864077669903","7.851063829787234","0.04452273432213109","1.0","1.0","3","2","1","1.0","1.0"
"group_3106","","hypothetical protein","82","94","1","9","98.79518072289156","8.737864077669903","7.851063829787234","0.04452273432213109","1.0","1.0","2","2","1","0.5","1.0"
"group_2036","","hypothetical protein","1","9","82","94","1.2048192771084338","91.2621359223301","0.12737127371273713","0.04452273432213109","1.0","1.0","3","1","2","1.0","1.0"
"group_3159","","hypothetical protein","22","42","61","61","26.506024096385545","59.22330097087378","0.5238095238095238","0.04507412609510217","1.0","1.0","4","1","4","0.125","0.625"
"rihA","","Pyrimidine-specific ribonucleoside hydrolase RihA","60","59","23","44","72.28915662650603","42.71844660194174","1.9454679439941047","0.04550051888908667","1.0","1.0","8","4","5","0.7265625000000002","1.0"
"group_3260","","hypothetical protein","29","22","54","81","34.93975903614458","78.64077669902912","1.9772727272727273","0.04751824738130096","1.0","1.0","20","16","10","0.011817932128906248","1.0"
"group_3817","","hypothetical protein","6","18","77","85","7.228915662650602","82.52427184466019","0.36796536796536794","0.04760807550164414","1.0","1.0","12","3","10","0.038574218750000014","0.14599609375000003"
"group_3041","","hypothetical protein","40","34","43","69","48.19277108433735","66.99029126213593","1.8878248974008207","0.04978160888321863","1.0","1.0","7","6","5","0.125","0.4531249999999996"
